
MTV点歌145,#genre#
AKB48-cry,http://em.21dtv.com/songs/60073090.mkv
LINE-cruise,http://em.21dtv.com/songs/60073089.mkv
CHURCH-creepin,http://em.21dtv.com/songs/60073088.mkv
江映蓉-crazy,http://em.21dtv.com/songs/60073086.mkv
BARKLEY-crazy,http://em.21dtv.com/songs/60073085.mkv
SMITH-crazy,http://em.21dtv.com/songs/60073084.mkv
袁娅维-crazy,http://em.21dtv.com/songs/60073083.mkv
STEFANI-cool,http://em.21dtv.com/songs/60073075.mkv
KILLS-controversy,http://em.21dtv.com/songs/60073074.mkv
ARROWS-conquest,http://em.21dtv.com/songs/60073073.mkv
KING-comeback,http://em.21dtv.com/songs/60073072.mkv
9NINE-colorful,http://em.21dtv.com/songs/60073065.mkv
CLOWN-cold,http://em.21dtv.com/songs/60073063.mkv
REY-cola,http://em.21dtv.com/songs/60073062.mkv
王若琳-coins,http://em.21dtv.com/songs/60073061.mkv
SANDE-clown,http://em.21dtv.com/songs/60073056.mkv
金泰妍-closer,http://em.21dtv.com/songs/60073055.mkv
SARA-closer,http://em.21dtv.com/songs/60073054.mkv
WESTLIFE-close,http://em.21dtv.com/songs/60073053.mkv
板野友美-clone,http://em.21dtv.com/songs/60073052.mkv
陈奕迅-class,http://em.21dtv.com/songs/60073049.mkv
西城男孩-clarity,http://em.21dtv.com/songs/60073048.mkv
FLATTS-changed,http://em.21dtv.com/songs/60073044.mkv
XX-chained,http://em.21dtv.com/songs/60073042.mkv
SPARKS-celebrate,http://em.21dtv.com/songs/60073041.mkv
AFFAIR-candle,http://em.21dtv.com/songs/60073032.mkv
岚-calling,http://em.21dtv.com/songs/60073028.mkv
ROCK-collide,http://em.21dtv.com/songs/60067864.mkv
MIX-cannonball,http://em.21dtv.com/songs/60067863.mkv
USHER-climax,http://em.21dtv.com/songs/60066444.mkv
林峰-chok,http://em.21dtv.com/songs/60060778.mkv
SUL-champion,http://em.21dtv.com/songs/60060777.mkv
潘越云-错,http://em.21dtv.com/songs/60013629.mkv
陈德志-错,http://em.21dtv.com/songs/60013628.mkv
罗中旭-刺,http://em.21dtv.com/songs/60013456.mkv
杜德伟-刺,http://em.21dtv.com/songs/60013455.mkv
李玲玉-春,http://em.21dtv.com/songs/60013215.mkv
五月天-闯,http://em.21dtv.com/songs/60013199.mkv
戴洛-闯,http://em.21dtv.com/songs/60013198.mkv
佚名-窗,http://em.21dtv.com/songs/60013174.mkv
余天-船,http://em.21dtv.com/songs/60013140.mkv
那英-船,http://em.21dtv.com/songs/60013139.mkv
方逸华-船,http://em.21dtv.com/songs/60013138.mkv
蔡琴-船,http://em.21dtv.com/songs/60013137.mkv
何炅-冲,http://em.21dtv.com/songs/60012837.mkv
高向鹏-冲(无原唱),http://em.21dtv.com/songs/60012836.mkv
林慧萍-驰,http://em.21dtv.com/songs/60012776.mkv
佚名-痴(无原唱),http://em.21dtv.com/songs/60012664.mkv
杨坤-城(演唱会),http://em.21dtv.com/songs/60012609.mkv
周杰伦-扯,http://em.21dtv.com/songs/60012475.mkv
周华健-潮,http://em.21dtv.com/songs/60012439.mkv
童唱-蝉,http://em.21dtv.com/songs/60012268.mkv
童唱-蝉(无原唱),http://em.21dtv.com/songs/60012267.mkv
彩虹姐姐-蝉(无原唱),http://em.21dtv.com/songs/60012266.mkv
王菲菲-茶,http://em.21dtv.com/songs/60012200.mkv
童唱-草,http://em.21dtv.com/songs/60012056.mkv
海辰-蚕,http://em.21dtv.com/songs/60012012.mkv
斯琴高丽+顾峰-猜,http://em.21dtv.com/songs/60011862.mkv
爱戴-猜,http://em.21dtv.com/songs/60011861.mkv
宇多田光-colors,http://em.21dtv.com/songs/60005318.mkv
太极乐队-crystal,http://em.21dtv.com/songs/60001112.mkv
太极乐队-crystal(演唱会),http://em.21dtv.com/songs/60001111.mkv
佚名-crying,http://em.21dtv.com/songs/60001109.mkv
郑秀文-crying(演唱会),http://em.21dtv.com/songs/60001108.mkv
JACKSON-cry,http://em.21dtv.com/songs/60001100.mkv
张学友-cry(演唱会),http://em.21dtv.com/songs/60001099.mkv
佚名-crush,http://em.21dtv.com/songs/60001093.mkv
PAIGE-crush,http://em.21dtv.com/songs/60001092.mkv
P-cruising,http://em.21dtv.com/songs/60001091.mkv
滨崎步-crossroad,http://em.21dtv.com/songs/60001088.mkv
AT17-creep(演唱会),http://em.21dtv.com/songs/60001082.mkv
PRINCE-cream,http://em.21dtv.com/songs/60001081.mkv
LMF-crazychildren,http://em.21dtv.com/songs/60001079.mkv
张菲-crazy,http://em.21dtv.com/songs/60001078.mkv
佚名-crazy,http://em.21dtv.com/songs/60001077.mkv
柯有伦-crazy,http://em.21dtv.com/songs/60001076.mkv
艾雨-crazy,http://em.21dtv.com/songs/60001075.mkv
NELSON-crazy,http://em.21dtv.com/songs/60001074.mkv
P.CLINE-crazy,http://em.21dtv.com/songs/60001073.mkv
K+CI+JOJO-crazy,http://em.21dtv.com/songs/60001072.mkv
LNGLESIAS-crazy,http://em.21dtv.com/songs/60001071.mkv
B.A.D-crazy(演唱会),http://em.21dtv.com/songs/60001069.mkv
PARK-crawling,http://em.21dtv.com/songs/60001057.mkv
ROXETTE-crash!boom!bang!,http://em.21dtv.com/songs/60001056.mkv
佚名-copacabana,http://em.21dtv.com/songs/60001032.mkv
MANILOW-copacabana,http://em.21dtv.com/songs/60001031.mkv
佚名-control,http://em.21dtv.com/songs/60001029.mkv
吴雨霏-control,http://em.21dtv.com/songs/60001028.mkv
佚名-constantly,http://em.21dtv.com/songs/60001026.mkv
潘迪华-constantly(演唱会),http://em.21dtv.com/songs/60001025.mkv
佚名-connected,http://em.21dtv.com/songs/60001023.mkv
佚名-congratulations,http://em.21dtv.com/songs/60001022.mkv
ESTEFAN+MIAMI-conga,http://em.21dtv.com/songs/60001021.mkv
叶丽仪-conga(演唱会),http://em.21dtv.com/songs/60001020.mkv
佚名-confesion,http://em.21dtv.com/songs/60001018.mkv
LAVIGNE-complicated,http://em.21dtv.com/songs/60001017.mkv
BOLTON-completely,http://em.21dtv.com/songs/60001015.mkv
CROSSFADE-cold,http://em.21dtv.com/songs/60000971.mkv
H.NILSSON-coconut(无原唱),http://em.21dtv.com/songs/60000967.mkv
FERGIE-clumsy,http://em.21dtv.com/songs/60000963.mkv
NE+YO-closer,http://em.21dtv.com/songs/60000959.mkv
佚名-clelbration,http://em.21dtv.com/songs/60000950.mkv
佚名-classic,http://em.21dtv.com/songs/60000948.mkv
CLAPTON-circus,http://em.21dtv.com/songs/60000945.mkv
SPEARS-circus,http://em.21dtv.com/songs/60000944.mkv
徐仁英-cinderella,http://em.21dtv.com/songs/60000940.mkv
YOUNG-cinderella,http://em.21dtv.com/songs/60000939.mkv
大塚爱-chu-lip,http://em.21dtv.com/songs/60000938.mkv
佚名-chostbusters,http://em.21dtv.com/songs/60000929.mkv
HOOSIERS-choices,http://em.21dtv.com/songs/60000927.mkv
ABBA-chiquitita,http://em.21dtv.com/songs/60000922.mkv
佚名-child,http://em.21dtv.com/songs/60000916.mkv
佚名-cherish,http://em.21dtv.com/songs/60000911.mkv
MADONNA-cherish,http://em.21dtv.com/songs/60000910.mkv
女声-charade,http://em.21dtv.com/songs/60000907.mkv
男声-charade,http://em.21dtv.com/songs/60000906.mkv
MIWA-change,http://em.21dtv.com/songs/60000903.mkv
F.I.R-change,http://em.21dtv.com/songs/60000902.mkv
佚名-change(无原唱),http://em.21dtv.com/songs/60000901.mkv
SUPPLY-chances(演唱会),http://em.21dtv.com/songs/60000898.mkv
CHIPMUNK-champion,http://em.21dtv.com/songs/60000896.mkv
佚名-chains,http://em.21dtv.com/songs/60000895.mkv
BAND-centerfold,http://em.21dtv.com/songs/60000884.mkv
太极乐队-celia(演唱会),http://em.21dtv.com/songs/60000883.mkv
佚名-celebrity,http://em.21dtv.com/songs/60000882.mkv
MADONNA-celebration,http://em.21dtv.com/songs/60000881.mkv
GANG-celebration,http://em.21dtv.com/songs/60000880.mkv
张靓颖-celebrate,http://em.21dtv.com/songs/60000879.mkv
佚名-cecilia,http://em.21dtv.com/songs/60000878.mkv
MATHIS-cavatina,http://em.21dtv.com/songs/60000877.mkv
陶喆-catherine,http://em.21dtv.com/songs/60000872.mkv
佚名-casablanca,http://em.21dtv.com/songs/60000867.mkv
费翔-casablanca,http://em.21dtv.com/songs/60000866.mkv
李韦-carrie,http://em.21dtv.com/songs/60000861.mkv
EUROPE-carrie,http://em.21dtv.com/songs/60000860.mkv
