MTV点歌162,#genre#
耿斯汉-归来,http://em.21dtv.com/songs/60150973.mkv
红禹-缘定三生,http://em.21dtv.com/songs/60150972.mkv
白英举-父子情真,http://em.21dtv.com/songs/60150971.mkv
瓜尔佳鑫-雨碟,http://em.21dtv.com/songs/60150970.mkv
澈波卓玛-梦中情人,http://em.21dtv.com/songs/60150969.mkv
海生-互不相欠,http://em.21dtv.com/songs/60150968.mkv
海潮-说你爱我,http://em.21dtv.com/songs/60150967.mkv
河图-掺香,http://em.21dtv.com/songs/60150966.mkv
毕夏-我是女生,http://em.21dtv.com/songs/60150965.mkv
格子兮-最长最长的回忆,http://em.21dtv.com/songs/60150964.mkv
柴俊-杭州唱响亚洲,http://em.21dtv.com/songs/60150963.mkv
枫舞-今生今世把你找,http://em.21dtv.com/songs/60150962.mkv
杜歌-竹马,http://em.21dtv.com/songs/60150961.mkv
曾雨轩+汪丽-铭记爱的欢乐时刻,http://em.21dtv.com/songs/60150960.mkv
曹艺馨-我带上你你带上钱,http://em.21dtv.com/songs/60150959.mkv
春雨-云的泪,http://em.21dtv.com/songs/60150957.mkv
方艺谚-奇葩,http://em.21dtv.com/songs/60150956.mkv
成泉-狗年大吉旺旺旺,http://em.21dtv.com/songs/60150955.mkv
彩贝与海-你什么时候回来,http://em.21dtv.com/songs/60150954.mkv
带泪的鱼-我不想哭,http://em.21dtv.com/songs/60150952.mkv
宫俊-艳阳天,http://em.21dtv.com/songs/60150951.mkv
妲己-直播情缘,http://em.21dtv.com/songs/60150950.mkv
城哥哥-他送你回家,http://em.21dtv.com/songs/60150949.mkv
哎哟蔚蔚-如风过境,http://em.21dtv.com/songs/60150948.mkv
冯冠豪-风铃,http://em.21dtv.com/songs/60150947.mkv
关楚耀-饥饿游戏,http://em.21dtv.com/songs/60150946.mkv
付成-雨过之后,http://em.21dtv.com/songs/60150945.mkv
二龙-我是我自己,http://em.21dtv.com/songs/60150944.mkv
东方红艳-草原中国心,http://em.21dtv.com/songs/60150943.mkv
XL组合-萍聚,http://em.21dtv.com/songs/60150942.mkv
WAYS-慢慢走,http://em.21dtv.com/songs/60150941.mkv
VAVA+KOZAY-说唱大帝,http://em.21dtv.com/songs/60150940.mkv
KISS-准备迎接你,http://em.21dtv.com/songs/60150939.mkv
TF家族练习生-超人诞生日记,http://em.21dtv.com/songs/60150938.mkv
TFBOYS-躲猫猫+我们的时光,http://em.21dtv.com/songs/60150937.mkv
IN,http://em.21dtv.com/songs/60150935.mkv
SWIN-发光的星体,http://em.21dtv.com/songs/60150934.mkv
TOKKI-给我爱的你,http://em.21dtv.com/songs/60150933.mkv
MC阳子-李太白,http://em.21dtv.com/songs/60150932.mkv
MC轩颜-杀无赦,http://em.21dtv.com/songs/60150931.mkv
MC谢晓宇-三轮车,http://em.21dtv.com/songs/60150930.mkv
MC范小松-当年呐喊的另类,http://em.21dtv.com/songs/60150929.mkv
MC梦柯-我已收起锋芒,http://em.21dtv.com/songs/60150928.mkv
MC梦柯-悟空传,http://em.21dtv.com/songs/60150927.mkv
MC柯镇恶-红颜墓,http://em.21dtv.com/songs/60150926.mkv
MC小洲-还有梦想,http://em.21dtv.com/songs/60150925.mkv
MC冰鑫-蝶儿总在空中飞,http://em.21dtv.com/songs/60150924.mkv
MC从容-今生欠你一个拥抱,http://em.21dtv.com/songs/60150923.mkv
LIGHT,http://em.21dtv.com/songs/60150922.mkv
LOKEY低调组合-得儿漂,http://em.21dtv.com/songs/60150921.mkv
KOGIRLS-微笑糖果,http://em.21dtv.com/songs/60150920.mkv
JA符龙飞-立,http://em.21dtv.com/songs/60150919.mkv
J.SHEON-坏蛋特调,http://em.21dtv.com/songs/60150918.mkv
CUBI+FI9江澈+BIRCK-BINGBIAN病变,http://em.21dtv.com/songs/60150917.mkv
WORRY,http://em.21dtv.com/songs/60150916.mkv
ONE-等你一万年,http://em.21dtv.com/songs/60150915.mkv
雨馨-铿锵玫瑰,http://em.21dtv.com/songs/60150914.mkv
郭宴-悬崖菊,http://em.21dtv.com/songs/60150913.mkv
遥远-父亲是天,http://em.21dtv.com/songs/60150912.mkv
赵海燕-鹏城有个较场尾,http://em.21dtv.com/songs/60150911.mkv
赵海燕-山海大鹏迎客来,http://em.21dtv.com/songs/60150910.mkv
